"gender"	"age"	"attitude"	"deep"	"stra"	"surf"	"points"
"126"	"F"	21	28	3.83333333333333	3.25	3	18
"127"	"F"	21	37	4.41666666666667	4.125	2.58333333333333	28
"128"	"F"	20	26	3.5	3.375	2.41666666666667	21
"129"	"F"	21	24	3.58333333333333	2.75	3.58333333333333	19
"130"	"F"	25	30	3.66666666666667	4.125	2.08333333333333	27
"131"	"M"	21	28	2.08333333333333	3.25	4.33333333333333	24
"132"	"F"	24	29	4.25	2.875	2.66666666666667	21
"133"	"F"	20	24	3.58333333333333	2.875	3	20
"134"	"M"	21	31	4	2.375	2.66666666666667	28
"135"	"F"	20	19	3.33333333333333	3.875	2.16666666666667	12
"136"	"F"	20	20	3.5	2.125	2.66666666666667	21
"137"	"F"	18	38	3.16666666666667	4	2.25	28
"138"	"F"	21	34	3.58333333333333	3.25	2.66666666666667	31
"139"	"F"	19	37	3.41666666666667	2.625	3.33333333333333	18
"140"	"F"	21	29	4.25	2.75	3.5	25
"141"	"F"	20	23	3.25	4	2.75	19
"142"	"M"	21	41	4.41666666666667	3	2	21
"143"	"F"	20	27	3.25	3.375	2.83333333333333	16
"144"	"F"	21	35	3.91666666666667	3.875	3.5	7
"145"	"F"	20	34	3.58333333333333	3.25	2.5	21
"146"	"F"	18	32	4.5	3.375	3.16666666666667	17
"147"	"M"	22	33	3.58333333333333	4.125	3.08333333333333	22
"148"	"F"	22	33	3.66666666666667	3.5	2.91666666666667	18
"149"	"M"	24	35	2.58333333333333	2	3.16666666666667	25
"150"	"F"	19	32	4.16666666666667	3.625	2.5	24
"151"	"F"	20	31	3.25	3.375	3.83333333333333	23
"152"	"F"	20	28	4.33333333333333	2.125	2.25	23
"153"	"F"	17	17	3.91666666666667	4.625	3.41666666666667	26
"154"	"M"	19	19	2.66666666666667	2.5	3.75	12
"155"	"F"	20	35	3.08333333333333	2.875	3	32
"156"	"F"	20	24	3.75	2.75	2.58333333333333	22
"157"	"F"	20	21	4.16666666666667	4	3.33333333333333	20
"158"	"F"	20	29	4.16666666666667	2.375	2.83333333333333	21
"159"	"F"	19	19	3.25	3.875	3	23
"160"	"F"	19	20	4.08333333333333	3.375	2.83333333333333	20
"161"	"F"	22	42	2.91666666666667	1.75	3.16666666666667	28
"162"	"M"	35	41	3.83333333333333	3	2.75	31
"163"	"F"	18	37	3.16666666666667	2.625	3.41666666666667	18
"164"	"F"	19	36	3.41666666666667	2.625	3	30
"165"	"M"	21	18	4.08333333333333	3.375	2.66666666666667	19
